university_name,state_province,country_name,alpha_two_code
University of Pittsburgh Medical Center,Pennsylvania,United States,US
The University of Texas at Rio Grande Valley,Texas,United States,US
Utah Valley University,Utah,United States,US
Florida Polytechnic University,Florida,United States,US
College of Southern Nevada,NV,United States,US
Bentley University,Massachusetts,United States,US
Bloomsburg University of Pennsylvania,Pennsylvania,United States,US
Bryant University,Rhode Island,United States,US
California University of Pennsylvania,Pennsylvania,United States,US
Clarion University of Pennsylvania,Pennsylvania,United States,US
Allen College,Iowa,United States,US
East Stroudsburg State University of Pennsylvania,Pennsylvania,United States,US
Edinboro University of Pennsylvania,Pennsylvania,United States,US
Emory & Henry College,VA,United States,US
East Texas Baptist University,TX,United States,US
Haverford College in Pennsylvania,Pennsylvania,United States,US
Indiana University - Bloomington,Indiana,United States,US
Indiana University of Pennsylvania,Pennsylvania,United States,US
Kansas State University,Kansas,United States,US
Kutztown University of Pennsylvania,Pennsylvania,United States,US
Mansfield University of Pennsylvania,Pennsylvania,United States,US
Mercyhurst University,Pennsylvania,United States,US
Denver College of Nursing,Colorado,United States,US
Millersville University of Pennsylvania,Pennsylvania,United States,US
Ohio State University - Columbus,Ohio,United States,US
Pennsylvania College of Technology,Pennsylvania,United States,US
Pennsylvania State University,Pennsylvania,United States,US
Pennsylvania State University - Schuylkill Campus,Pennsylvania,United States,US
Purdue University Fort Wayne,IN,United States,US
Pittsburg State University,Pennsylvania,United States,US
Plymouth State University,New Hampshire,United States,US
Pomona College,California,United States,US
St. Francis College,New York,United States,US
Shippensburg University of Pennsylvania,Pennsylvania,United States,US
Slippery Rock University of Pennsylvania,Pennsylvania,United States,US
"University of California, Office of the President",CA,United States,US
UC Hastings College of the Law,CA,United States,US
University of Illinois Urbana-Champaign,Illinois,United States,US
University of New Hampshire,New Hampshire,United States,US
The University of North Carolina at Greensboro,North Carolina,United States,US
University of Pennsylvania,Pennsylvania,United States,US
University of Pittsburgh,Pennsylvania,United States,US
University of Pittsburgh at Johnstown,Pennsylvania,United States,US
University of Pittsburgh at Bradford,Pennsylvania,United States,US
Anderson University,South Carolina,United States,US
The University of Texas at Austin,Texas,United States,US
The University of Texas at San Antonio,Texas,United States,US
Virginia Tech,Virginia,United States,US
Walla Walla University,Washington,United States,US
West Chester University of Pennsylvania,Pennsylvania,United States,US
Westminster College of New Wilmington,Pennsylvania,United States,US
Westminster College of Fulton,Missouri,United States,US
York College of Pennsylvania,Pennsylvania,United States,US
Houston Baptist University,TX,United States,US
Minerva University,California,United States,US
San Bernardino Valley College,California,United States,US
San Diego City College,California,United States,US
San Diego Mesa College,California,United States,US
San Diego Miramar College,California,United States,US
CUNY Baruch College,NY,United States,US
CUNY Queens College,NY,United States,US
CUNY City Tech,NY,United States,US
CUNY City College of NY,NY,United States,US
CUNY Brooklyn College,NY,United States,US
CUNY Medgar Evers College,NY,United States,US
CUNY College of Staten Island,NY,United States,US
CUNY Macauly Honors College,NY,United States,US
SUNY Broome Community College,New York,United States,US
Pennsylvania Highlands Community College,Pennsylvania,United States,US
Pennsylvania Institute of Technology,Pennsylvania,United States,US
Pittsburgh Technical Institute,Pennsylvania,United States,US
University of Pittsburgh-Titusville,Pennsylvania,United States,US
Schreiner University,Texas,United States,US
Trinity Bible College & Graduate School,ND,United States,US
University of Michigan-Flint,MI,United States,US
Defiance College,Ohio,United States,US
Gulf Coast State College,Florida,United States,US
Academy of Art University,California,United States,US
Lenoir-Rhyne University,North Carolina,United States,US
Point Park University,Pennsylvania,United States,US
Northwood University,Michigan,United States,US
Clark Atlanta University,GA,United States,US
Morehouse,GA,United States,US
Gwynedd Mercy University,Pennsylvania,United States,US
Bellevue College,Washington,United States,US
CUNY Lehman College,"New York, NY",United States,US
CUNY John Jay College of Criminal Justice,"New York, NY",United States,US
Hunter College CUNY,"New York, NY",United States,US
CUNY York College,"New York, NY",United States,US
Unity Environmental College,Maine,United States,US
Island Drafting & Technical Institute,NY,United States,US
Bay Path University,MA,United States,US
State University of New York at Oneonta,New York,United States,US
Northwestern Michigan College,Michigan,United States,US
Abraham Baldwin Agricultural College,Georgia,United States,US
Capital University,Ohio,United States,US
State University of New York College at Oneonta,New York,United States,US
University of Mount Olive,North Carolina,United States,US
The University of Olivet,Michigan,United States,US
Westminster University,"Salt Lake City, Utah",United States,US
Dominican University,Illinois,United States,US
St. Mary's University,Texas,United States,US
South Florida State College,Florida,United States,US
Alvernia University,Pennsylvania,United States,US
Stonehill College,Massachusetts,United States,US
Southern Virginia University,Virginia,United States,US
Louisiana State University - Shreveport,Louisiana,United States,US
Maricopa Community Colleges,Arizona,United States,US
California College of the Arts,San Francisco,United States,US
Dallas College,Texas,United States,US
University of North Texas at Dallas,Texas,United States,US
Spokane Colleges,Washington,United States,US
